"delta_index2
References : ['S(2,1)']
Dependency : [delta_index2]
Num. Points : [96]
Matrix Size : scalar
Type : Real","delta_index1
References : ['S(2,1)']
Dependency : [delta_index2,delta_index1]
Num. Points : [96,96]
Matrix Size : scalar
Type : Real","freq
References : ['S(2,1)']
Dependency : [delta_index2,delta_index1,freq]
Num. Points : [96,96,1]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [delta_index2,delta_index1,freq]
Num. Points : [96,96,1]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
0.000,0.000,28.00 GHz,0.391 / 5.563 
0.000,1.000,28.00 GHz,0.388 / 2.657 
0.000,2.000,28.00 GHz,0.384 / -0.037 
0.000,3.000,28.00 GHz,0.380 / -2.527 
0.000,4.000,28.00 GHz,0.375 / -4.844 
0.000,5.000,28.00 GHz,0.371 / -6.983 
0.000,6.000,28.00 GHz,0.366 / -8.974 
0.000,7.000,28.00 GHz,0.362 / -10.824 
0.000,8.000,28.00 GHz,0.357 / -12.568 
0.000,9.000,28.00 GHz,0.352 / -14.174 
0.000,10.000,28.00 GHz,0.348 / -15.681 
0.000,11.000,28.00 GHz,0.344 / -17.089 
0.000,12.000,28.00 GHz,0.339 / -18.416 
0.000,13.000,28.00 GHz,0.335 / -19.657 
0.000,14.000,28.00 GHz,0.331 / -20.829 
0.000,15.000,28.00 GHz,0.327 / -21.931 
0.000,16.000,28.00 GHz,0.332 / -23.473 
0.000,17.000,28.00 GHz,0.320 / -26.406 
0.000,18.000,28.00 GHz,0.307 / -29.108 
0.000,19.000,28.00 GHz,0.296 / -31.596 
0.000,20.000,28.00 GHz,0.284 / -33.913 
0.000,21.000,28.00 GHz,0.274 / -36.052 
0.000,22.000,28.00 GHz,0.263 / -38.050 
0.000,23.000,28.00 GHz,0.254 / -39.916 
0.000,24.000,28.00 GHz,0.244 / -41.689 
0.000,25.000,28.00 GHz,0.236 / -43.338 
0.000,26.000,28.00 GHz,0.228 / -44.899 
0.000,27.000,28.00 GHz,0.220 / -46.375 
0.000,28.000,28.00 GHz,0.213 / -47.783 
0.000,29.000,28.00 GHz,0.206 / -49.118 
0.000,30.000,28.00 GHz,0.199 / -50.394 
0.000,31.000,28.00 GHz,0.193 / -51.611 
0.000,32.000,28.00 GHz,0.197 / -53.356 
0.000,33.000,28.00 GHz,0.178 / -56.209 
0.000,34.000,28.00 GHz,0.160 / -58.894 
0.000,35.000,28.00 GHz,0.144 / -61.439 
0.000,36.000,28.00 GHz,0.129 / -63.908 
0.000,37.000,28.00 GHz,0.114 / -66.277 
0.000,38.000,28.00 GHz,0.101 / -68.603 
0.000,39.000,28.00 GHz,0.088 / -70.920 
0.000,40.000,28.00 GHz,0.076 / -73.307 
0.000,41.000,28.00 GHz,0.066 / -75.763 
