"delta_index2
References : ['S(2,1)']
Dependency : [delta_index2]
Num. Points : [95]
Matrix Size : scalar
Type : Real","delta_index1
References : ['S(2,1)']
Dependency : [delta_index2,delta_index1]
Num. Points : [95,95]
Matrix Size : scalar
Type : Real","freq
References : ['S(2,1)']
Dependency : [delta_index2,delta_index1,freq]
Num. Points : [95,95,1]
Matrix Size : scalar
Type : Real","S(2,1)
References : []
Dependency : [delta_index2,delta_index1,freq]
Num. Points : [95,95,1]
Matrix Size : scalar
Type : Complex
Complex Format : Mag/Deg"
0.000,0.000,28.00 GHz,0.391 / 5.572 
0.000,1.000,28.00 GHz,0.388 / 2.666 
0.000,2.000,28.00 GHz,0.384 / -0.029 
0.000,3.000,28.00 GHz,0.380 / -2.519 
0.000,4.000,28.00 GHz,0.375 / -4.837 
0.000,5.000,28.00 GHz,0.371 / -6.977 
0.000,6.000,28.00 GHz,0.366 / -8.969 
0.000,7.000,28.00 GHz,0.361 / -10.819 
0.000,8.000,28.00 GHz,0.357 / -12.563 
0.000,9.000,28.00 GHz,0.352 / -14.171 
0.000,10.000,28.00 GHz,0.348 / -15.678 
0.000,11.000,28.00 GHz,0.343 / -17.086 
0.000,12.000,28.00 GHz,0.339 / -18.414 
0.000,13.000,28.00 GHz,0.335 / -19.656 
0.000,14.000,28.00 GHz,0.331 / -20.828 
0.000,15.000,28.00 GHz,0.327 / -21.931 
0.000,16.000,28.00 GHz,0.332 / -23.476 
0.000,17.000,28.00 GHz,0.320 / -26.411 
0.000,18.000,28.00 GHz,0.307 / -29.114 
0.000,19.000,28.00 GHz,0.296 / -31.604 
0.000,20.000,28.00 GHz,0.284 / -33.922 
0.000,21.000,28.00 GHz,0.274 / -36.063 
0.000,22.000,28.00 GHz,0.263 / -38.062 
0.000,23.000,28.00 GHz,0.254 / -39.930 
0.000,24.000,28.00 GHz,0.244 / -41.705 
0.000,25.000,28.00 GHz,0.236 / -43.356 
0.000,26.000,28.00 GHz,0.228 / -44.919 
0.000,27.000,28.00 GHz,0.220 / -46.396 
0.000,28.000,28.00 GHz,0.212 / -47.806 
0.000,29.000,28.00 GHz,0.206 / -49.143 
0.000,30.000,28.00 GHz,0.199 / -50.421 
0.000,31.000,28.00 GHz,0.193 / -51.640 
0.000,32.000,28.00 GHz,0.197 / -53.386 
